Course Name,URL,Course ID
新生專題 (GENEDU1000-01),https://cool.ntu.edu.tw/courses/7884,7884
分析一 (MATH5232),https://cool.ntu.edu.tw/courses/7901,7901
微積分預備課程 (MATH4012),https://cool.ntu.edu.tw/courses/7915,7915
比較憲法與轉型正義：全球案例 (LAW5486),https://cool.ntu.edu.tw/courses/7927,7927
香港的歷史與文化 (HIST2166),https://cool.ntu.edu.tw/courses/7955,7955
當代小說研究專論 (FL7355),https://cool.ntu.edu.tw/courses/7964,7964
證券市場微結構理論 (FIN7006),https://cool.ntu.edu.tw/courses/7970,7970
商業賽局模型一 (FIN7035),https://cool.ntu.edu.tw/courses/7971,7971
工程系統之熱管理對策 (ME5048),https://cool.ntu.edu.tw/courses/7972,7972
新生講座-能力養成 (GENEDU2006),https://cool.ntu.edu.tw/courses/7995,7995
最佳設計 (ME7129),https://cool.ntu.edu.tw/courses/7996,7996
普通生物學實驗丙 (LS1017-05),https://cool.ntu.edu.tw/courses/7999,7999
腦功能影像實驗設計與分析 (GIBMS7112-01),https://cool.ntu.edu.tw/courses/8011,8011
國際投資法與投資仲裁專題討論二 (LAW5616),https://cool.ntu.edu.tw/courses/8013,8013
國際投資法與投資仲裁專題討論一 (LAW5615),https://cool.ntu.edu.tw/courses/8012,8012
國際投資法與投資仲裁專題討論三 (LAW5617),https://cool.ntu.edu.tw/courses/8014,8014
認知科學 (GIBMS7004),https://cool.ntu.edu.tw/courses/8024,8024
WTO法律與實務專題研究二 (LAW5346),https://cool.ntu.edu.tw/courses/8027,8027
WTO法律與實務專題研究一 (LAW5345),https://cool.ntu.edu.tw/courses/8026,8026
WTO法律與實務專題研究三 (LAW5347),https://cool.ntu.edu.tw/courses/8028,8028
認知神經科學 (TIPGIN8012),https://cool.ntu.edu.tw/courses/8039,8039
普通植物學實驗 (LS1019-01),https://cool.ntu.edu.tw/courses/8047,8047
都市更新與再生 (BP7095),https://cool.ntu.edu.tw/courses/8053,8053
領導學導論 (PROG5105),https://cool.ntu.edu.tw/courses/8056,8056
你所不知道的昆蟲學 (LIBEDU1067),https://cool.ntu.edu.tw/courses/8073,8073
金融科技法制與政策專題研究一 (LAW7317),https://cool.ntu.edu.tw/courses/8080,8080
人類發展學 (BSN2001),https://cool.ntu.edu.tw/courses/8110,8110
創新醫療器材設計 (BEBI5002),https://cool.ntu.edu.tw/courses/8115,8115
植物細胞與組織培養實習 (AGRON5029),https://cool.ntu.edu.tw/courses/8132,8132
探索臺灣：自然資源保育與經營管理 (FOREST5071-01),https://cool.ntu.edu.tw/courses/8147,8147
林業概論 (FOREST1003),https://cool.ntu.edu.tw/courses/8148,8148
線蟲學與實驗 (PPM2012),https://cool.ntu.edu.tw/courses/8172,8172
統計學一上 (MGT2001),https://cool.ntu.edu.tw/courses/8174,8174
語料庫輔助華語教學 (PTCSL7250),https://cool.ntu.edu.tw/courses/8202,8202
國際生商務華語 (PTCSL7913),https://cool.ntu.edu.tw/courses/8208,8208
預測，語言，與大腦 (LING5001),https://cool.ntu.edu.tw/courses/8230,8230
近世代數一 (MATH5001),https://cool.ntu.edu.tw/courses/8231,8231
幸福與人生 (PSY1012),https://cool.ntu.edu.tw/courses/8247,8247
密碼學 (EE5060),https://cool.ntu.edu.tw/courses/8300,8300
典藏自然：自然史博物館巡禮 (EEB5097),https://cool.ntu.edu.tw/courses/8309,8309
詩選及習作甲上 (CHIN2007-01),https://cool.ntu.edu.tw/courses/8313,8313
國際人權法專題討論一 (LAW5197),https://cool.ntu.edu.tw/courses/8331,8331
個體經濟學原理與實習 (ECON1020-03),https://cool.ntu.edu.tw/courses/8332,8332
比較政府一 (PS2001-02),https://cool.ntu.edu.tw/courses/8335,8335
生物化學乙上 (BST3014),https://cool.ntu.edu.tw/courses/8351,8351
統計學 (AGRON2002-02),https://cool.ntu.edu.tw/courses/8352,8352
學士論文 (Hist4997),https://cool.ntu.edu.tw/courses/8363,8363
二十世紀英國文學 (FL3004),https://cool.ntu.edu.tw/courses/8379,8379
藝術與創作 (PROG5240),https://cool.ntu.edu.tw/courses/8386,8386
大洋洲民族誌 (ANTH3018),https://cool.ntu.edu.tw/courses/8391,8391
中階統計 (PSY3010),https://cool.ntu.edu.tw/courses/8418,8418
日文一上 (JPNL2017-27),https://cool.ntu.edu.tw/courses/8439,8439
日文一上 (JPNL2017-38),https://cool.ntu.edu.tw/courses/8440,8440
日文二上 (JPNL3047-10),https://cool.ntu.edu.tw/courses/8441,8441
微積分1 (MATH4006-08),https://cool.ntu.edu.tw/courses/8449,8449
微積分1 (MATH4006-04),https://cool.ntu.edu.tw/courses/8453,8453
微積分1 (MATH4006-19),https://cool.ntu.edu.tw/courses/8451,8451
跨科技整合與應用	INTERDISCIPLINARY TECHNOLOGIES AND APPLICATIONS,https://cool.ntu.edu.tw/courses/8460,8460
森林資源及綠色產業 FOREST RESOURCES AND GREEN INDUSTRY,https://cool.ntu.edu.tw/courses/8461,8461
作物科學導論 (AGRON1008),https://cool.ntu.edu.tw/courses/8497,8497
秦漢學術思想史 (HIST5092),https://cool.ntu.edu.tw/courses/8510,8510
環境微生物 (BSE5160),https://cool.ntu.edu.tw/courses/8519,8519
疫苗學 (EPM5027),https://cool.ntu.edu.tw/courses/8522,8522
環境保護法規 (ENVE7075),https://cool.ntu.edu.tw/courses/8530,8530
財務工程一 (IB7044),https://cool.ntu.edu.tw/courses/8533,8533
統計史導論 (PS4512),https://cool.ntu.edu.tw/courses/8553,8553
東亞民主化專題 (PS5701),https://cool.ntu.edu.tw/courses/8554,8554
英文作文一上 (FL1019-09),https://cool.ntu.edu.tw/courses/8561,8561
環境化學 (ENVE7010),https://cool.ntu.edu.tw/courses/8564,8564
計算機結構 (CSIE3340-02),https://cool.ntu.edu.tw/courses/8578,8578
演算法設計與分析 (CSIE2136-01),https://cool.ntu.edu.tw/courses/8583,8583
食用昆蟲學 (ENT5069),https://cool.ntu.edu.tw/courses/8596,8596
《尼科馬哥倫理學》討論 (PHL7520),https://cool.ntu.edu.tw/courses/8602,8602
西洋哲學史一 (PHL1050),https://cool.ntu.edu.tw/courses/8601,8601
前瞻資訊科技一 (CSIE3015),https://cool.ntu.edu.tw/courses/8610,8610
電子學一暨實驗 (DBME2013),https://cool.ntu.edu.tw/courses/8617,8617
專題討論 (EE7001-01),https://cool.ntu.edu.tw/courses/8618,8618
專題討論 (EE8001-01),https://cool.ntu.edu.tw/courses/8621,8621
讀中生智：英文批判閱讀 (WRITE5026-02),https://cool.ntu.edu.tw/courses/8626,8626
早期美國文學 (FL4003),https://cool.ntu.edu.tw/courses/8639,8639
研究方法學導論 (CLIPHM5003),https://cool.ntu.edu.tw/courses/8647,8647
民法概要乙 (IB2003-02),https://cool.ntu.edu.tw/courses/8645,8645
西洋戲劇名著選讀：古典 (THEA2025),https://cool.ntu.edu.tw/courses/8694,8694
專題討論三 (IPCS7012-02),https://cool.ntu.edu.tw/courses/8704,8704
電工實驗(電力電子) (EE3022),https://cool.ntu.edu.tw/courses/8705,8705
專題討論 (ME7001-01),https://cool.ntu.edu.tw/courses/8717,8717
解剖學 (MED2009-01),https://cool.ntu.edu.tw/courses/8721,8721
統計學一上 (MGT2001-07),https://cool.ntu.edu.tw/courses/8741,8741
生理心理學 (PSY3001),https://cool.ntu.edu.tw/courses/8761,8761
營養教育與傳播 (BICD2041),https://cool.ntu.edu.tw/courses/8776,8776
民主與美國文學：形式或幻想 (FL7356),https://cool.ntu.edu.tw/courses/8814,8814
建築設計 (三) (BP5052),https://cool.ntu.edu.tw/courses/8847,8847
大學國文：文化思想與寫作（一） (CHIN8014-36),https://cool.ntu.edu.tw/courses/8845,8845
大學國文：文化思想與寫作（一） (CHIN8014-13),https://cool.ntu.edu.tw/courses/8844,8844
當代建築 (BP7220),https://cool.ntu.edu.tw/courses/8846,8846
深度學習於電腦視覺 (COMME5052),https://cool.ntu.edu.tw/courses/8854,8854
蒙文（三） (CHIN5106),https://cool.ntu.edu.tw/courses/8859,8859
計算機程式 (EE1004-03),https://cool.ntu.edu.tw/courses/8857,8857
工程數學-線性代數 (EE1002-05),https://cool.ntu.edu.tw/courses/8879,8879
西班牙文一上 (FL2017-06),https://cool.ntu.edu.tw/courses/8881,8881
電工實驗(生醫工程) (EE4057),https://cool.ntu.edu.tw/courses/8936,8936
數位行銷 (BICD3043),https://cool.ntu.edu.tw/courses/8945,8945
農業智慧財產權 (BICD5064),https://cool.ntu.edu.tw/courses/8946,8946
華語文教材教法 (TCSL7003),https://cool.ntu.edu.tw/courses/8947,8947
金融市場與行銷 (MBA5031),https://cool.ntu.edu.tw/courses/8954,8954
高齡身體活動與營養研究 (SPORT7509),https://cool.ntu.edu.tw/courses/8956,8956
普通物理學甲上 (PHYS1006-03),https://cool.ntu.edu.tw/courses/8992,8992
財政學 (ECON3040),https://cool.ntu.edu.tw/courses/8996,8996
古代基督教歷史與文化 (LIBEDU1040),https://cool.ntu.edu.tw/courses/9000,9000
計算機安全 (CSIE7016),https://cool.ntu.edu.tw/courses/9014,9014
法律經濟學概論 (ECON5058),https://cool.ntu.edu.tw/courses/9025,9025
視譯 (FL3040),https://cool.ntu.edu.tw/courses/9021,9021
總體經濟時間序列分析 (ECON7150),https://cool.ntu.edu.tw/courses/9034,9034
個體經濟學甲上 (AGEC2005),https://cool.ntu.edu.tw/courses/9054,9054
矽光子學 (OE5037),https://cool.ntu.edu.tw/courses/9064,9064
工程數學-微分方程(一) (EE2021-03),https://cool.ntu.edu.tw/courses/9066,9066
微積分1 (MATH4006-15),https://cool.ntu.edu.tw/courses/9069,9069
程式語言：命令程式設計 (IM2013),https://cool.ntu.edu.tw/courses/9100,9100
環境分析原理 (EOHS7013),https://cool.ntu.edu.tw/courses/9116,9116
金融科技法制與政策專題研究二 (LAW7318),https://cool.ntu.edu.tw/courses/9118,9118
外交政策議題 (PS3204),https://cool.ntu.edu.tw/courses/9122,9122
中國大陸政經發展專題 (PS7042),https://cool.ntu.edu.tw/courses/9123,9123
全球通識講座-認識全球 (PS4642),https://cool.ntu.edu.tw/courses/9121,9121
中國大陸政經發展專題研究 (PS8042),https://cool.ntu.edu.tw/courses/9124,9124
醫院見習 (VM4014-01),https://cool.ntu.edu.tw/courses/9125,9125
醫院見習 (VM4014-02),https://cool.ntu.edu.tw/courses/9126,9126
鋼筋混凝土學 (CIE3009-02),https://cool.ntu.edu.tw/courses/9129,9129
服務學習甲 (LS0004-04),https://cool.ntu.edu.tw/courses/9132,9132
四書：歷史與思想 (HIST5414),https://cool.ntu.edu.tw/courses/9144,9144
日本政治探討 (PROG3001),https://cool.ntu.edu.tw/courses/9150,9150
機器學習與深度學習導論 (CIE5133),https://cool.ntu.edu.tw/courses/9155,9155
高等人工智慧 (CSIE7007),https://cool.ntu.edu.tw/courses/9168,9168
資管新生專題 (IM1009),https://cool.ntu.edu.tw/courses/9184,9184
